##NAMES=Curienite
##RRUFFID=R050548
##IDEAL CHEMISTRY=Pb^2+^(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;5H_2_O
##LOCALITY=Mounana mine, Franceville, Haut-Ogooué, Gabon
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Groups of heavily striated orange bladed crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050548
##MEASURED CHEMISTRY=(Pb_0.83_Ba_0.17_)_Σ=1_(U_1.00_O_2_)_2_(V_1.00_O_4_)_2_·5.1H_2_O
399.1926, 0.6423726
401.1211, 0.6093366
403.0496, 0.6093366
404.9780, 0.6349921
406.9065, 0.6686547
408.8350, 0.6481867
410.7634, 0.6042566
412.6919, 0.6034037
414.6204, 0.6099260
416.5488, 0.6194032
418.4773, 0.6235982
420.4058, 0.6245280
422.3342, 0.6369287
424.2627, 0.6504173
426.1912, 0.6489130
428.1196, 0.6542028
430.0481, 0.6521449
431.9766, 0.6446379
433.9050, 0.6476654
435.8335, 0.6472217
437.7620, 0.6359630
439.6904, 0.6387016
441.6189, 0.6494115
443.5474, 0.6461636
445.4758, 0.6497867
447.4043, 0.6499247
449.3328, 0.6493407
451.2612, 0.6459441
453.1897, 0.6415746
455.1182, 0.6346786
457.0466, 0.6247008
458.9751, 0.6141596
460.9036, 0.6074098
462.8320, 0.5987410
464.7605, 0.5912744
466.6890, 0.5851232
468.6174, 0.5791230
470.5459, 0.5679665
472.4744, 0.5572357
474.4028, 0.5501414
476.3313, 0.5440560
478.2598, 0.5355984
480.1882, 0.5257419
482.1167, 0.5153844
484.0452, 0.5075906
485.9736, 0.4998960
487.9021, 0.4951465
489.8306, 0.4887035
491.7590, 0.4814498
493.6875, 0.4729457
495.6160, 0.4663688
497.5444, 0.4604556
499.4729, 0.4574539
501.4014, 0.4531010
503.3298, 0.4484516
505.2583, 0.4444742
507.1868, 0.4368694
509.1152, 0.4321039
511.0437, 0.4324103
512.9722, 0.4305255
514.9006, 0.4279400
516.8291, 0.4268410
518.7576, 0.4229836
520.6860, 0.4205950
522.6145, 0.4183887
524.5430, 0.4201358
526.4714, 0.4243511
528.3999, 0.4276276
530.3284, 0.4326605
532.2568, 0.4377266
534.1853, 0.4409715
536.1138, 0.4439996
538.0422, 0.4498387
539.9707, 0.4559268
541.8992, 0.4605358
543.8276, 0.4661669
545.7561, 0.4718388
547.6846, 0.4769611
549.6130, 0.4814143
551.5415, 0.4851081
553.4700, 0.4872893
555.3984, 0.4854538
557.3269, 0.4850218
559.2554, 0.4886919
561.1838, 0.4906836
563.1123, 0.4880714
565.0408, 0.4862016
566.9692, 0.4848985
568.8977, 0.4826525
570.8262, 0.4803785
572.7546, 0.4755507
574.6831, 0.4712352
576.6116, 0.4668947
578.5400, 0.4601357
580.4685, 0.4519377
582.3970, 0.4426698
584.3254, 0.4325526
586.2539, 0.4230829
588.1824, 0.4145788
590.1108, 0.4050096
592.0393, 0.3945717
593.9678, 0.3854294
595.8962, 0.3772869
597.8247, 0.3687331
599.7532, 0.3616693
601.6816, 0.3562738
603.6101, 0.3498279
605.5386, 0.3432234
607.4670, 0.3380027
609.3955, 0.3327258
611.3240, 0.3272004
613.2524, 0.3235796
615.1809, 0.3207267
617.1094, 0.3175735
619.0378, 0.3152986
620.9663, 0.3133665
622.8948, 0.3116987
624.8232, 0.3099049
626.7517, 0.3075459
628.6802, 0.3049134
630.6086, 0.3011767
632.5371, 0.2964988
634.4656, 0.2923788
636.3940, 0.2880277
638.3225, 0.2826111
640.2510, 0.2775634
642.1794, 0.2723024
644.1079, 0.2667847
646.0364, 0.2613010
647.9648, 0.2562632
649.8933, 0.2518420
651.8218, 0.2470291
653.7502, 0.2419990
655.6787, 0.2376713
657.6072, 0.2333309
659.5356, 0.2287630
661.4641, 0.2248159
663.3926, 0.2213958
665.3210, 0.2181438
667.2495, 0.2145254
669.1780, 0.2106933
671.1064, 0.2073683
673.0349, 0.2036751
674.9634, 0.2004088
676.8918, 0.1972131
678.8203, 0.1941694
680.7488, 0.1915643
682.6772, 0.1893434
684.6057, 0.1869694
686.5342, 0.1849158
688.4626, 0.1834247
690.3911, 0.1826029
692.3196, 0.1821386
694.2480, 0.1819815
696.1765, 0.1812040
698.1050, 0.1813056
700.0334, 0.1824088
701.9619, 0.1830645
703.8904, 0.1841440
705.8188, 0.1861172
707.7473, 0.1883368
709.6758, 0.1908745
711.6042, 0.1940027
713.5327, 0.1967875
715.4612, 0.2001828
717.3896, 0.2044995
719.3181, 0.2090233
721.2466, 0.2139064
723.1750, 0.2183067
725.1035, 0.2229360
727.0320, 0.2277563
728.9604, 0.2314420
730.8889, 0.2351833
732.8174, 0.2389954
734.7458, 0.2410907
736.6743, 0.2414695
738.6028, 0.2401459
740.5313, 0.2370850
742.4597, 0.2327816
744.3882, 0.2274868
746.3167, 0.2207999
748.2451, 0.2132053
750.1736, 0.2056983
752.1021, 0.1989499
754.0305, 0.1924741
755.9590, 0.1868990
757.8875, 0.1822932
759.8159, 0.1777679
761.7444, 0.1744356
763.6729, 0.1729140
765.6013, 0.1713959
767.5298, 0.1695724
769.4583, 0.1684689
771.3867, 0.1684060
773.3152, 0.1684345
775.2437, 0.1688302
777.1721, 0.1702593
779.1006, 0.1715627
781.0291, 0.1731683
782.9575, 0.1755591
784.8860, 0.1782126
786.8145, 0.1809926
788.7429, 0.1842563
790.6714, 0.1879331
792.5999, 0.1909622
794.5283, 0.1937685
796.4568, 0.1954139
798.3853, 0.1952951
800.3137, 0.1932699
802.2422, 0.1903397
804.1707, 0.1871452
806.0991, 0.1831666
808.0276, 0.1789951
809.9561, 0.1746795
811.8845, 0.1705993
813.8130, 0.1663963
815.7415, 0.1635107
817.6699, 0.1621693
819.5984, 0.1620163
821.5269, 0.1629889
823.4553, 0.1635938
825.3838, 0.1639663
827.3123, 0.1650893
829.2407, 0.1665504
831.1692, 0.1683594
833.0977, 0.1706206
835.0261, 0.1727633
836.9546, 0.1753975
838.8831, 0.1788296
840.8115, 0.1819617
842.7400, 0.1847982
844.6685, 0.1881009
846.5969, 0.1914647
848.5254, 0.1952058
850.4539, 0.1985296
852.3823, 0.2016787
854.3108, 0.2045709
856.2393, 0.2071412
858.1677, 0.2090572
860.0962, 0.2104549
862.0247, 0.2120966
863.9531, 0.2134643
