##NAMES=Rutile
##RRUFFID=R050417
##IDEAL CHEMISTRY=Ti^4+^O_2_
##LOCALITY=Champion mine, Mono County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Reddish black equant crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050417
##MEASURED CHEMISTRY=TiO_2_
399.1926, 0.2542753
401.1211, 0.2450401
403.0496, 0.2462182
404.9780, 0.2421559
406.9065, 0.2485726
408.8350, 0.2522207
410.7634, 0.2477221
412.6919, 0.2397469
414.6204, 0.2309788
416.5488, 0.2277249
418.4773, 0.2286747
420.4058, 0.2294849
422.3342, 0.2315844
424.2627, 0.2322444
426.1912, 0.2316768
428.1196, 0.2298803
430.0481, 0.2255459
431.9766, 0.2239622
433.9050, 0.2268158
435.8335, 0.2268431
437.7620, 0.2279717
439.6904, 0.2324014
441.6189, 0.2365117
443.5474, 0.2411896
445.4758, 0.2448569
447.4043, 0.2505292
449.3328, 0.2571611
451.2612, 0.2625129
453.1897, 0.2674186
455.1182, 0.2730185
457.0466, 0.2813703
458.9751, 0.2900899
460.9036, 0.2929532
462.8320, 0.2952661
464.7605, 0.2976349
466.6890, 0.3011891
468.6174, 0.3042490
470.5459, 0.3070515
472.4744, 0.3108829
474.4028, 0.3139996
476.3313, 0.3172564
478.2598, 0.3173636
480.1882, 0.3205820
482.1167, 0.3256862
484.0452, 0.3275603
485.9736, 0.3283522
487.9021, 0.3279991
489.8306, 0.3293427
491.7590, 0.3319156
493.6875, 0.3336570
495.6160, 0.3324898
497.5444, 0.3300068
499.4729, 0.3282928
501.4014, 0.3263403
503.3298, 0.3248771
505.2583, 0.3237553
507.1868, 0.3215311
509.1152, 0.3170799
511.0437, 0.3140051
512.9722, 0.3121077
514.9006, 0.3082595
516.8291, 0.3071025
518.7576, 0.3061449
520.6860, 0.3021913
522.6145, 0.2991639
524.5430, 0.2974510
526.4714, 0.2940198
528.3999, 0.2897419
530.3284, 0.2876522
532.2568, 0.2868747
534.1853, 0.2862185
536.1138, 0.2845804
538.0422, 0.2821673
539.9707, 0.2796732
541.8992, 0.2780085
543.8276, 0.2767541
545.7561, 0.2750634
547.6846, 0.2736444
549.6130, 0.2719443
551.5415, 0.2698573
553.4700, 0.2691385
555.3984, 0.2684600
557.3269, 0.2680274
559.2554, 0.2677555
561.1838, 0.2667197
563.1123, 0.2662089
565.0408, 0.2648809
566.9692, 0.2634867
568.8977, 0.2616438
570.8262, 0.2608950
572.7546, 0.2598815
574.6831, 0.2587125
576.6116, 0.2576906
578.5400, 0.2567996
580.4685, 0.2566892
582.3970, 0.2558487
584.3254, 0.2548522
586.2539, 0.2537861
588.1824, 0.2521950
590.1108, 0.2501684
592.0393, 0.2478031
593.9678, 0.2469318
595.8962, 0.2466348
597.8247, 0.2447114
599.7532, 0.2435268
601.6816, 0.2420375
603.6101, 0.2398124
605.5386, 0.2386913
607.4670, 0.2370233
609.3955, 0.2355012
611.3240, 0.2339432
613.2524, 0.2321276
615.1809, 0.2299532
617.1094, 0.2272810
619.0378, 0.2262440
620.9663, 0.2248156
622.8948, 0.2223211
624.8232, 0.2206500
626.7517, 0.2190179
628.6802, 0.2176262
630.6086, 0.2162295
632.5371, 0.2142360
634.4656, 0.2123689
636.3940, 0.2111277
638.3225, 0.2092940
640.2510, 0.2069540
642.1794, 0.2051525
644.1079, 0.2037292
646.0364, 0.2022569
647.9648, 0.2005273
649.8933, 0.1986515
651.8218, 0.1970712
653.7502, 0.1956029
655.6787, 0.1941025
657.6072, 0.1919122
659.5356, 0.1904923
661.4641, 0.1897751
663.3926, 0.1880111
665.3210, 0.1862366
667.2495, 0.1847076
669.1780, 0.1826765
671.1064, 0.1810913
673.0349, 0.1793314
674.9634, 0.1775406
676.8918, 0.1760314
678.8203, 0.1745938
680.7488, 0.1733458
682.6772, 0.1713896
684.6057, 0.1694068
686.5342, 0.1680461
688.4626, 0.1669735
690.3911, 0.1657000
692.3196, 0.1643482
694.2480, 0.1624116
696.1765, 0.1604632
698.1050, 0.1591645
700.0334, 0.1580080
701.9619, 0.1564445
703.8904, 0.1543073
705.8188, 0.1527845
707.7473, 0.1514167
709.6758, 0.1496545
711.6042, 0.1476859
713.5327, 0.1460810
715.4612, 0.1446349
717.3896, 0.1426625
719.3181, 0.1404492
721.2466, 0.1392981
723.1750, 0.1380794
725.1035, 0.1359036
727.0320, 0.1341657
728.9604, 0.1324563
730.8889, 0.1304809
732.8174, 0.1287619
734.7458, 0.1269999
736.6743, 0.1252631
738.6028, 0.1232344
740.5313, 0.1207948
742.4597, 0.1191009
744.3882, 0.1178641
746.3167, 0.1161100
748.2451, 0.1139532
750.1736, 0.1116698
